date,full_name,company_code,abbreviation,report_date,report_type
2020-03-24,北京鼎汉技术集团股份有限公司,300011,鼎汉技术,2019年,年度报告
2021-04-28,深圳市科陆电子科技股份有限公司,002121,科陆电子,2020年,年度报告
2022-07-29,深圳雷曼光电科技股份有限公司,300162,雷曼光电,2021年,年度报告
2021-04-29,浙江东方基因生物制品股份有限公司,688298,东方生物,2020年,年度报告
2020-04-01,信达地产股份有限公司,600657,信达地产,2019年,年度报告
2021-04-22,深圳市金证科技股份有限公司,600446,金证股份,2020年,年度报告
2021-05-25,江苏百川高科新材料股份有限公司,002455,百川股份,2020年,年度报告
2022-04-29,北京同有飞骥科技股份有限公司,300302,同有科技,2021年,年度报告
2022-04-27,江苏聚杰微纤科技集团股份有限公司,300819,聚杰微纤,2021年,年度报告
2022-03-26,华润三九医药股份有限公司,000999,华润三九,2021年,年度报告
2020-04-30,天娱数字科技大连集团股份有限公司,002354,天娱数科,2019年,年度报告
2021-03-23,金富科技股份有限公司,003018,金富科技,2020年,年度报告
2022-04-29,广东利扬芯片测试股份有限公司,688135,利扬芯片,2021年,年度报告
2022-04-12,江苏金智科技股份有限公司,002090,金智科技,2021年,年度报告
2020-06-02,湖北凯乐科技股份有限公司,600260,凯乐科技,2019年,年度报告
2022-04-22,国网信息通信股份有限公司,600131,国网信通,2021年,年度报告
2020-04-29,常州亚玛顿股份有限公司,002623,亚玛顿,2019年,年度报告
2020-04-11,江苏华信新材料股份有限公司,300717,华信新材,2019年,年度报告
2022-03-29,山推工程机械股份有限公司,000680,山推股份,2021年,年度报告
2020-03-31,华西证券股份有限公司,002926,华西证券,2019年,年度报告
2021-04-23,浙江诚意药业股份有限公司,603811,诚意药业,2020年,年度报告
2022-06-14,上海医药集团股份有限公司,601607,上海医药,2021年,年度报告
2022-12-03,广东翔鹭钨业股份有限公司,002842,翔鹭钨业,2020年,年度报告
2021-03-31,武汉三镇实业控股股份有限公司,600168,武汉控股,2020年,年度报告
2020-04-29,宁波天龙电子股份有限公司,603266,天龙股份,2019年,年度报告
2021-03-26,启迪设计集团股份有限公司,300500,启迪设计,2019年,年度报告
2021-04-27,成都豪能科技股份有限公司,603809,豪能股份,2020年,年度报告
2021-04-28,启迪设计集团股份有限公司,300500,启迪设计,2020年,年度报告
2020-03-30,华安证券股份有限公司,600909,华安证券,2019年,年度报告
2022-04-26,软通动力信息技术集团股份有限公司,301236,软通动力,2021年,年度报告
2021-04-01,九阳股份有限公司,002242,九阳股份,2020年,年度报告
2021-04-26,山西华翔集团股份有限公司,603112,华翔股份,2020年,年度报告
2021-04-28,中电环保股份有限公司,300172,中电环保,2020年,年度报告
2021-06-08,宁夏中科生物科技股份有限公司,600165,宁科生物,2020年,年度报告
2020-04-08,安徽集友新材料股份有限公司,603429,集友股份,2019年,年度报告
2021-04-24,泰豪科技股份有限公司,600590,泰豪科技,2020年,年度报告
2021-04-27,海波重型工程科技股份有限公司,300517,海波重科,2020年,年度报告
2020-03-26,丽珠医药集团股份有限公司,000513,丽珠集团,2019年,年度报告
2021-04-30,成都盟升电子技术股份有限公司,688311,盟升电子,2020年,年度报告
2020-04-10,上海新动力汽车科技股份有限公司,600841,动力新科,2019年,年度报告
2021-04-15,北京思特奇信息技术股份有限公司,300608,思特奇,2020年,年度报告
2022-04-28,株洲冶炼集团股份有限公司,600961,株冶集团,2021年,年度报告
2020-04-07,浙江荣晟环保纸业股份有限公司,603165,荣晟环保,2019年,年度报告
2020-04-23,北京中石伟业科技股份有限公司,300684,中石科技,2019年,年度报告
2020-04-25,深圳诺普信农化股份有限公司,002215,诺普信,2019年,年度报告
2021-04-16,深圳文科园林股份有限公司,002775,文科园林,2020年,年度报告
2020-04-22,四川和邦生物科技股份有限公司,603077,和邦生物,2019年,年度报告
2022-04-19,安徽集友新材料股份有限公司,603429,集友股份,2021年,年度报告
2022-04-28,安徽口子酒业股份有限公司,603589,口子窖,2021年,年度报告
2020-04-25,澜起科技股份有限公司,688008,澜起科技,2019年,年度报告
2020-04-21,中国软件与技术服务股份有限公司,600536,中国软件,2019年,年度报告
2020-04-28,山煤国际能源集团股份有限公司,600546,山煤国际,2019年,年度报告
2022-03-29,北京市春立正达医疗器械股份有限公司,688236,春立医疗,2021年,年度报告
2022-03-17,江西三鑫医疗科技股份有限公司,300453,三鑫医疗,2021年,年度报告
2022-03-26,安徽全柴动力股份有限公司,600218,全柴动力,2021年,年度报告
2020-04-28,浙江德创环保科技股份有限公司,603177,德创环保,2019年,年度报告
2020-04-22,哈尔滨博实自动化股份有限公司,002698,博实股份,2019年,年度报告
2022-04-25,中炬高新技术实业集团股份有限公司,600872,中炬高新,2021年,年度报告
2022-04-28,世纪天鸿教育科技股份有限公司,300654,世纪天鸿,2021年,年度报告
2021-04-28,深圳信测标准技术服务股份有限公司,300938,信测标准,2020年,年度报告
2021-04-22,合盛硅业股份有限公司,603260,合盛硅业,2020年,年度报告
2022-04-22,云南驰宏锌锗股份有限公司,600497,驰宏锌锗,2021年,年度报告
2021-04-27,云南城投置业股份有限公司,600239,云南城投,2020年,年度报告
2022-05-10,无锡帝科电子材料股份有限公司,300842,帝科股份,2021年,年度报告
2021-04-27,三维控股集团股份有限公司,603033,三维股份,2020年,年度报告
2021-04-23,联化科技股份有限公司,002250,联化科技,2020年,年度报告
2022-03-30,山东华鲁恒升化工股份有限公司,600426,华鲁恒升,2021年,年度报告
2022-04-23,永清环保股份有限公司,300187,永清环保,2021年,年度报告
2022-03-08,山东泰和科技股份有限公司,300801,泰和科技,2021年,年度报告
2022-03-31,重庆钢铁股份有限公司,601005,重庆钢铁,2021年,年度报告
2022-04-16,三羊马重庆物流股份有限公司,001317,三羊马,2021年,年度报告
2021-04-29,上海新南洋昂立教育科技股份有限公司,600661,昂立教育,2020年,年度报告
2022-04-16,中电电机股份有限公司,603988,中电电机,2021年,年度报告
2021-04-27,北京首旅酒店集团股份有限公司,600258,首旅酒店,2020年,年度报告
2022-04-26,浙江铁流离合器股份有限公司,603926,铁流股份,2021年,年度报告
2020-04-25,长城汽车股份有限公司,601633,长城汽车,2019年,年度报告
2021-04-22,深圳明阳电路科技股份有限公司,300739,明阳电路,2020年,年度报告
