问题,年份,公司,鑫鑫关键词,包关键词
能否根据2020年金宇生物技术股份有限公司的年报，给我简要介绍一下报告期内公司的社会责任工作情况？,2020,600201,社会责任|工作情况,社会责任工作情况
请根据江化微2019年的年报，简要介绍报告期内公司主要销售客户的客户集中度情况，并结合同行业情况进行分析。,2019,603078,主要|销售客户|客户集中度情况|结合|同行业|情况,公司主要销售客户的集中度情况
2019年四方科技电子信箱是什么?,2019,603339,电子信箱,电子信箱
研发费用对公司的技术创新和竞争优势有何影响？,,,,
康希诺生物股份公司在2020年的资产负债比率具体是多少，需要保留至小数点后两位？,2020,688185,资产|负债比率|具体|需要,资产负债比率
苏州科达在2020年的博士及以上人员数量是多少?,2020,603660,博士|人员数量,博士及以上人员数量
河北金牛化工股份有限公司2020年法定代表人对比2019年是否相同?,2020|2019,600722,法定|代表人|是否|相同,法定代表人
南京康尼机电股份有限公司2019年企业研发经费与利润比值是多少?保留2位小数。,2019,603111,企业|研发|经费|利润|比值,企业研发经费|利润|企业研发经费与利润比值
2021年商业城现金及现金等价物增长率是多少?保留2位小数。,2021,600306,现金|现金等价物增长率,现金及现金等价物增长率
平潭发展在2021年的投资收益增长率保留到小数点后两位是多少？,2021,000592,投资收益增长率,投资收益增长率
请问，光云科技2019年的财务费用是多少元?,2019,688365,请问|财务费用,财务费用
安记食品股份有限公司在2019年的营业利润率是多少，结果请保留至小数点后两位？,2019,603696,营业利润率,营业利润率
金枫酒业在2020年的管理费用是多少元?,2020,600616,管理费用,管理费用
2019年爱丽家居企业名称是什么?,2019,603221,企业名称,企业名称
文投控股在2021年的应付职工薪酬是多少元?,2021,600715,应付职工薪酬,应付职工薪酬
2020年旭升集团的销售费用和管理费用分别是多少元?,2020,603305,销售费用|管理费用,管理费用|销售费用|销售费用和管理费用
震安科技2019年的办公地址是什么?,2019,300767,办公地址,办公地址
2019年南亚新材料科技股份有限公司研发费用和财务费用分别是多少元?,2019,688519,研发|费用|财务费用,财务费用|研发费用和财务费用|研发费用
新经典文化股份有限公司2020年的速动比率是多少？保留两位小数。,2020,603096,速动比率,速动比率
合并财务报表的编制方法有哪些？,,,,
2019年永新股份企业名称是什么?,2019,002014,企业名称,企业名称
2019年西安饮食股份有限公司电子信箱是什么?,2019,000721,电子信箱,电子信箱
硕世生物在2020年的现金比率是多少？请保留至小数点后两位。,2020,688399,现金比率,现金比率
上海金桥信息股份有限公司2020年综合收益总额是多少元?,2020,603918,综合收益总额,综合收益总额
华锋股份2021年无形资产是多少元?,2021,002806,无形|资产,无形资产
2020年山东玉马遮阳科技股份有限公司净利润率为多少?保留2位小数。,2020,300993,净利润率,净利润率
2020年综艺股份资产负债比率是多少?保留2位小数。,2020,600770,资产|负债比率,资产负债比率
山西汾酒2021年应收款项融资是多少元?,2021,600809,应|收款项|融资,应收款项融资
博云新材在2020年对联营企业和合营企业的投资收益是多少元？,2020,002297,联营企业|合营企业|投资收益,投资收益
维康药业2019年企业名称是什么?,2019,300878,企业名称,企业名称
江西铜业股份有限公司2021年的衍生金融资产和其他非流动金融资产分别是多少元？,2021,600362,衍生金融资产|流动金融资产,衍生金融资产和其他非流动金融资产|其他非流动金融资产|衍生金融资产
请问，2019年德美化工的企业名称是什么?,2019,002054,请问|企业名称,
